,popularity,original_title,director,runtime,genres,release_date,vote_count,vote_average,release_year
0,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,6/9/15,5562,6.5,2015
1,28.419936,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,5/13/15,6185,7.1,2015
2,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,3/18/15,2480,6.3,2015
3,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,12/15/15,5292,7.5,2015
4,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,4/1/15,2947,7.3,2015
5,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,12/25/15,3929,7.2,2015
6,8.654359,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,6/23/15,2598,5.8,2015
7,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,9/30/15,4572,7.6,2015
8,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,6/17/15,2893,6.5,2015
9,6.326804,Inside Out,Pete Docter,94,Comedy|Animation|Family,6/9/15,3935,8.0,2015
10,6.200282,Spectre,Sam Mendes,148,Action|Adventure|Crime,10/26/15,3254,6.2,2015
11,6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,2/4/15,1937,5.2,2015
12,6.118847,Ex Machina,Alex Garland,108,Drama|Science Fiction,1/21/15,2854,7.6,2015
13,5.984995,Pixels,Chris Columbus,105,Action|Comedy|Science Fiction,7/16/15,1575,5.8,2015
14,5.944927,Avengers: Age of Ultron,Joss Whedon,141,Action|Adventure|Science Fiction,4/22/15,4304,7.4,2015
15,5.8984,The Hateful Eight,Quentin Tarantino,167,Crime|Drama|Mystery|Western,12/25/15,2389,7.4,2015
16,5.749758,Taken 3,Olivier Megaton,109,Crime|Action|Thriller,1/1/15,1578,6.1,2015
17,5.5731839999999995,Ant-Man,Peyton Reed,115,Science Fiction|Action|Adventure,7/14/15,3779,7.0,2015
18,5.556818,Cinderella,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,3/12/15,1495,6.8,2015
19,5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War|Adventure|Science Fiction,11/18/15,2380,6.5,2015
20,5.4621379999999995,Tomorrowland,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,5/19/15,1899,6.2,2015
21,5.337064,Southpaw,Antoine Fuqua,123,Action|Drama,6/15/15,1386,7.3,2015
22,4.907832,San Andreas,Brad Peyton,114,Action|Drama|Thriller,5/27/15,2060,6.1,2015
23,4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,Drama|Romance,2/11/15,1865,5.3,2015
24,4.648046,The Big Short,Adam McKay,130,Comedy|Drama,12/11/15,1545,7.3,2015
25,4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Action,7/23/15,2349,7.1,2015
26,4.5645489999999995,Ted 2,Seth MacFarlane,115,Comedy,6/25/15,1666,6.3,2015
27,4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Crime|Comedy|Action|Adventure,1/24/15,3833,7.6,2015
28,4.062293,Spotlight,Tom McCarthy,128,Drama|Thriller|History,11/6/15,1559,7.8,2015
29,3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,Action|Science Fiction|Thriller,9/9/15,1849,6.4,2015
30,3.927333,Mr. Holmes,Bill Condon,103,Mystery|Drama,6/19/15,425,6.4,2015
31,3.899557,Chappie,Neill Blomkamp,120,Crime|Action|Science Fiction,3/4/15,1990,6.6,2015
32,3.877764,Pitch Perfect 2,Elizabeth Banks,115,Comedy|Music,5/7/15,1264,6.8,2015
33,3.6482099999999997,Bridge of Spies,Steven Spielberg,141,Thriller|Drama,10/15/15,1638,7.1,2015
34,3.6445410000000003,Goosebumps,Rob Letterman,103,Adventure|Horror|Comedy,8/5/15,600,6.2,2015
35,3.557846,Room,Lenny Abrahamson,117,Drama|Thriller,10/16/15,1520,8.0,2015
36,3.358321,Solace,Afonso Poyart,101,Crime|Drama|Mystery,9/3/15,474,6.2,2015
37,3.3391349999999997,The Good Dinosaur,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,11/14/15,1087,6.6,2015
38,3.23737,Run All Night,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,3/11/15,814,6.3,2015
39,3.227329,Brooklyn,John Crowley,111,Drama|Romance,11/4/15,754,7.3,2015
40,3.2027189999999996,Straight Outta Compton,F. Gary Gray,147,Drama|Music,8/13/15,918,7.7,2015
41,3.080505,The Last Witch Hunter,Breck Eisner,106,Fantasy|Action|Adventure,10/21/15,879,5.6,2015
42,3.0795220000000003,Steve Jobs,Danny Boyle,122,History|Drama,10/9/15,1035,6.9,2015
43,3.0534209999999997,The Man from U.N.C.L.E.,Guy Ritchie,116,Comedy|Action|Adventure,8/13/15,1548,7.0,2015
44,3.025852,The Age of Adaline,Lee Toland Krieger,112,Fantasy|Drama|Romance,4/16/15,1221,7.3,2015
45,3.023253,Hardcore Henry,Ilya Naishuller,97,Action|Adventure|Science Fiction,9/12/15,396,5.9,2015
46,2.976436,Home,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,3/18/15,1060,6.9,2015
47,2.968254,Paper Towns,Jake Schreier,109,Drama|Mystery|Romance,7/9/15,1252,6.2,2015
48,2.93234,Wild Card,Simon West,92,Thriller|Crime|Drama,1/14/15,481,5.3,2015
49,2.8851259999999996,The Lobster,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,10/8/15,638,6.6,2015
50,2.883233,Carol,Todd Haynes,118,Romance|Drama,11/20/15,562,7.1,2015
51,2.8148020000000002,The Intern,Nancy Meyers,121,Comedy,9/24/15,1255,7.1,2015
52,2.7980169999999998,Everest,Baltasar KormÃ¡kur,121,Adventure|Drama,9/10/15,1172,6.7,2015
53,2.793297,Joy,David O. Russell,124,Comedy|Drama,12/24/15,1001,6.4,2015
54,2.6144990000000004,Point Break,Ericson Core,114,Action|Crime|Thriller,12/3/15,505,5.5,2015
55,2.584264,Burnt,John Wells,100,Drama,10/2/15,631,6.3,2015
56,2.578919,Self/less,Tarsem Singh,116,Science Fiction|Mystery|Thriller,7/10/15,719,6.2,2015
57,2.575711,Mortdecai,David Koepp,106,Comedy|Adventure,1/21/15,696,5.3,2015
58,2.557859,The Danish Girl,Tom Hooper,120,Drama,11/27/15,867,7.3,2015
59,2.5507470000000003,Blackhat,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,1/13/15,584,5.0,2015
60,2.487849,Sicario,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,9/17/15,1479,7.1,2015
61,2.4870419999999998,Fantastic Four,Josh Trank,100,Action|Adventure|Science Fiction,8/5/15,1565,4.4,2015
62,2.46449,The Witch,Robert Eggers,92,Mystery|Horror,3/24/15,700,5.8,2015
63,2.404473,Spy,Paul Feig,120,Action|Comedy|Crime,5/6/15,1840,6.9,2015
64,2.395366,Focus,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,2/25/15,1831,6.7,2015
65,2.354654,Hitman: Agent 47,Aleksander Bach,96,Action|Crime|Thriller,8/20/15,820,5.5,2015
66,2.345821,In the Heart of the Sea,Ron Howard,122,Thriller|Drama|Adventure|Action|History,11/20/15,805,6.4,2015
67,2.331636,Survivor,James McTeigue,96,Crime|Thriller|Action,5/21/15,280,5.4,2015
68,2.3315669999999997,Creed,Ryan Coogler,133,Drama,11/25/15,1171,7.3,2015
69,2.31767,Trainwreck,Judd Apatow,125,Comedy,7/17/15,849,6.1,2015
70,2.29573,Eye in the Sky,Gavin Hood,102,Drama|Thriller|War,9/11/15,265,7.2,2015
71,2.28135,Legend,Brian Helgeland,131,Crime|Thriller,9/9/15,619,6.7,2015
72,2.2720439999999997,Beyond the Reach,Jean-Baptiste LÃ©onetti,95,Thriller,4/17/15,81,5.5,2015
73,2.234573,Pan,Joe Wright,111,Adventure|Family|Fantasy,9/24/15,586,5.9,2015
74,2.165433,Mythica: The Darkspore,Anne K. Black,108,Action|Adventure|Fantasy,6/24/15,27,5.1,2015
75,2.141506,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,105,Comedy|Drama,6/12/15,569,7.7,2015
76,2.140199,The Peanuts Movie,Steve Martino,88,Adventure|Animation|Comedy|Family,11/5/15,414,6.4,2015
77,2.121884,Concussion,Peter Landesman,123,Drama,11/12/15,500,6.9,2015
78,2.096273,The Night Before,Jonathan Levine,100,Comedy,11/20/15,363,6.1,2015
79,2.0809349999999998,Knock Knock,Eli Roth,99,Drama|Horror|Thriller,6/26/15,473,4.8,2015
80,2.070708,The Longest Ride,"George Tillman, Jr.",128,Romance|Drama,4/9/15,711,7.3,2015
81,2.060162,Hotel Transylvania 2,Genndy Tartakovsky,89,Animation|Comedy|Family,9/21/15,919,6.8,2015
82,2.055572,Love the Coopers,Jessie Nelson,107,Family|Comedy,11/12/15,111,5.3,2015
83,2.049886,The Walk,Robert Zemeckis,123,Adventure|Drama|Thriller,9/30/15,706,6.8,2015
84,2.0266509999999998,Tracers,Daniel Benmayor,94,Action|Crime|Drama,1/15/15,326,5.9,2015
85,2.000338,Vacation,John Francis Daley|Jonathan M. Goldstein,99,Adventure|Comedy,7/28/15,846,6.1,2015
86,1.984529,Poltergeist,Gil Kenan,93,Horror|Thriller,5/20/15,589,5.0,2015
87,1.9800389999999999,Maggie,Henry Hobson,95,Horror,5/8/15,384,5.1,2015
88,1.9597650000000002,Equals,Drake Doremus,101,Drama|Romance|Science Fiction,9/4/15,135,5.6,2015
89,1.95632,Child 44,Daniel Espinosa,137,Crime|Thriller,3/15/15,341,5.9,2015
90,1.926739,The Gift,Joel Edgerton,108,Thriller|Mystery,7/30/15,631,6.6,2015
91,1.904898,Daddy's Home,Sean Anders,96,Comedy,12/25/15,568,5.7,2015
92,1.876037,Mythica: The Necromancer,A. Todd Smith,0,Fantasy|Action|Adventure,12/19/15,11,5.4,2015
93,1.872696,Vice,Brian A Miller,96,Thriller|Science Fiction|Action|Adventure,1/16/15,181,4.1,2015
94,1.865007,The Little Prince,Mark Osborne,92,Adventure|Animation|Fantasy,7/29/15,423,7.5,2015
95,1.841779,Alvin and the Chipmunks: The Road Chip,Walt Becker,92,Adventure|Animation|Comedy|Family,12/17/15,278,5.7,2015
96,1.82313,The Dressmaker,Jocelyn Moorhouse,118,Drama,10/1/15,197,6.9,2015
97,1.758618,The DUFF,Ari Sandel,100,Romance|Comedy,2/20/15,753,6.8,2015
98,1.742286,Sinister 2,Ciaran Foy,97,Horror,8/19/15,331,5.5,2015
99,1.73518,Paul Blart: Mall Cop 2,Andy Fickman,94,Action|Adventure|Comedy|Family,4/16/15,422,5.3,2015
100,1.7247119999999898,Frozen Fever,Chris Buck|Jennifer Lee,8,Adventure|Animation|Family,3/9/15,475,7.0,2015
101,1.661789,High-Rise,Ben Wheatley,119,Action|Drama|Science Fiction,9/26/15,161,5.4,2015
102,1.6510779999999898,The Boy Next Door,Rob Cohen,91,Thriller,1/23/15,810,3.9,2015
103,1.646664,Spooks: The Greater Good,Bharat Nalluri,104,Thriller|Action,4/11/15,114,5.6,2015
104,1.532997,Entourage,Doug Ellin,104,Comedy,6/3/15,364,6.2,2015
105,1.5100959999999999,The Wedding Ringer,Jeremy Garelick,101,Comedy,1/16/15,446,6.5,2015
106,1.499614,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,93,Comedy|Horror,10/23/15,288,6.2,2015
107,1.495112,The Visit,M. Night Shyamalan,94,Horror|Thriller,9/10/15,729,5.9,2015
108,1.4832459999999899,Black Mass,Scott Cooper,122,Crime|Drama,9/4/15,848,6.3,2015
