	popularity	popularity	popularity	popularity	popularity	popularity	popularity	popularity	runtime	runtime	runtime	runtime	runtime	runtime	runtime	runtime	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
release_year																																
1960	32.0	0.4589323124999999	0.5418328163186225	0.055821	0.15809124999999974	0.268273	0.434118	2.610362	32.0	110.65625	33.49203985831511	70.0	85.75	103.5	126.25	208.0	32.0	6.325	0.8639743126408481	4.9	5.8500000000000005	6.25	7.0	8.0	32.0	77.53125	210.55563732963867	10.0	12.0	16.0	32.25	1180.0
1961	31.0	0.422827129032258	0.5265169366003175	0.027527	0.184113	0.265092	0.388336	2.631987	31.0	119.41935483870968	28.168273161541617	79.0	99.0	110.0	135.0	186.0	31.0	6.3741935483870975	0.6903949313909559	4.6	6.05	6.3	6.9	7.5	31.0	77.58064516129032	185.16709106345874	10.0	13.0	18.0	35.0	913.0
1962	32.0	0.45478340624999997	0.555944978294984	0.038819	0.20985224999999996	0.299075	0.5214887500000001	3.170651	32.0	124.34375	36.30658820068602	78.0	97.0	117.5	145.0	216.0	32.0	6.343750000000001	0.7526030097751276	4.9	5.8	6.45	6.925000000000001	7.7	32.0	74.75	137.26263970237682	10.0	12.75	17.5	43.25	560.0
1963	34.0	0.5027064411764701	0.5510397018067057	0.045417	0.18474600000000002	0.24994	0.6553745	2.508235	34.0	111.32352941176471	37.16851110104905	18.0	89.0	108.5	125.0	248.0	34.0	6.329411764705882	0.6365291355966811	5.0	5.925000000000001	6.35	6.7	7.5	34.0	82.82352941176471	139.78673596161457	10.0	14.25	22.0	61.75	486.0
1964	42.0	0.4124283095238095	0.6201964532306891	0.00899	0.12854649999999998	0.19447150000000002	0.36634900000000004	3.153791	42.0	109.21428571428571	26.230252236762443	28.0	93.0	110.5	124.5	170.0	42.0	6.211904761904761	0.7519737868265969	4.6	5.7	6.4	6.7749999999999995	7.7	42.0	74.69047619047619	172.90382045113114	10.0	12.0	15.5	32.75	804.0
1965	35.0	0.3425865428571428	0.4003664826370182	0.00477	0.14312000000000002	0.201703	0.32355349999999994	1.910465	35.0	118.17142857142858	34.88677965874728	25.0	97.5	112.0	134.5	199.0	35.0	6.194285714285716	0.7190446509668461	4.4	5.75	6.3	6.6	7.6	35.0	52.0	114.19694031133491	10.0	13.5	19.0	26.5	620.0
1966	46.0	0.304112	0.23927845960619004	0.034555	0.14237000000000002	0.245917	0.39183124999999996	1.227582	46.0	106.8913043478261	32.342767187919776	25.0	93.25	106.5	122.5	182.0	46.0	6.128260869565215	0.9602460433493677	1.5	5.7	6.0	6.7	7.9	46.0	31.73913043478261	45.15328696420115	10.0	13.0	15.5	27.5	286.0
1967	40.0	0.47115367499999994	0.5935319579368306	0.034181	0.14509124999999923	0.240558	0.5083770000000001	2.550704	40.0	104.95	26.102313484263597	4.0	92.0	107.0	117.75	152.0	40.0	6.2425	0.8195957415013695	4.6	5.5	6.25	6.9	7.6	40.0	77.55	161.5281113900325	10.0	14.5	19.5	70.5	928.0
